Img,title,author,types,status,click_num,intro
https://bookcover.yuewen.com/qdbimg/349573/c_7246259104753803/90,药妃在上,穆丹枫,古代言情,已完结,313.92万,                        帅哥，江湖救急！借你衣服穿穿！”某女剥光正修炼某邪王，然后逍遥跑路。　　某邪王清醒之后咬牙：搜！给我掘地三尺也要把她搜出来！　　　　他是这个大陆众生膜拜的圣尊，神秘，高贵，不可攀。。　　她现代杀手之王，对他的评价是：妖孽，变态，神棍。　　她避他如蛇蝎，他缠她如缠藤。　　她无情无爱，快意恩仇。他却将她放在心尖尖上，不容任何人轻辱，他说辱我者尚可原谅，辱她者杀无赦！                    
https://bookcover.yuewen.com/qdbimg/349573/c_3997023804771303/90,绝代神主,百里龙虾,玄幻,连载中,702.06万,                        苏家少主苏莫，觉醒出逆天武魂，却被认为是最低级的垃圾武魂，受尽屈辱……且看苏莫如何凭借着逆天武魂，一路崛起，一路逆袭……【读者群：703269794】                    
https://bookcover.yuewen.com/qdbimg/349573/c_6825685203853503/90,跟乔爷撒个娇,罗衣对雪,现代言情,连载中,808.83万,                        京城出了大新闻：乔爷守了十二年的小媳妇跑了，跑了！连儿子都不要了！一时间流言四起：听说是乔爷腹黑又高冷、婚后生活不和谐；听说是小媳妇和别人好上了；听说是儿子太丑。某天，小奶娃找到了叶佳期，委屈巴巴：“七七，爸爸说我是宠物店买的。”“宠物店怎么能买到这么漂亮的儿子。”叶佳期呵呵笑，“明明是……摸奖中的。”小奶娃望天：“……”二十岁前，他把她宠上天；二十岁后，他把她和小包子宠上天。从此，京城乔爷，眉间心上，唯独一人。                    
https://bookcover.yuewen.com/qdbimg/349573/c_22344671000280502/90,斗破苍穹,天蚕土豆,玄幻,已完结,533.29万,                        　　这里是属于斗气的世界，没有花俏艳丽的魔法，有的，仅仅是繁衍到巅峰的斗气！　　新书等级制度：斗者，斗师，大斗师，斗灵，斗王，斗皇，斗宗，斗尊，斗圣，斗帝。……吴磊、林允主演的同名电视剧9月3日起周一到周三每晚22：00登陆湖南卫视，腾讯视频全网独播。　　                    
https://bookcover.yuewen.com/qdbimg/349573/c_11297425304303403/90,这个大佬画风不对,墨泠,科幻空间,已完结,543.12万,                        初筝被莫名其妙判定死亡后，唯一的烦恼就是——花钱。自从绑定这个系统，她腰不酸，腿不疼，特么的连气都不喘了，每天生活在花钱的恐惧中。系统：我们定个小目标，先败它一个亿……小姐姐你住手！你不要随便开启无敌模式！(▼皿▼#)初筝：你先解释下这个抱着我大腿的玩意是什么？某玩意：宝宝你想怎么都可以。初筝：（摸刀）那、那我不客气了。系统：小姐姐请你放下屠刀！！(▼へ▼メ)#小姐姐，真的可以为所欲为，了解一下#                    
https://bookcover.yuewen.com/qdbimg/349573/c_14156142405054404/90,余生有你，甜又暖,囧囧有妖,现代言情,连载中,166.05万,"                        刚发现自己会被裴聿城的意识附身时，林烟是拒绝的。明明在酒吧蹦迪，一醒来，躺在了荒郊野岭。明明在家里打游戏，一醒来，站在了欧洲大街。明明在跟男神烛光晚餐，一醒来，站在了男洗手间。这日子没法过了！后来的林烟——“大佬求上身，帮我写个作业！”“大佬求上身,帮我考个试！”“大佬求上身，帮我追个男神！”“大佬,听说生孩子挺疼的，等日后我生孩子的时候，不如你……”裴聿城：“……”                    "
https://bookcover.yuewen.com/qdbimg/349573/c_9421282603696303/90,伏天氏,净无痕,玄幻,连载中,810.65万,                        东方神州，有人皇立道统，有圣贤宗门传道，有诸侯雄踞一方王国，诸强林立，神州动乱千万载，值此之时，一代天骄叶青帝及东凰大帝横空出世，东方神州一统！      然，叶青帝忽然暴毙，世间雕像尽皆被毁，于世间除名，沦为禁忌；从此神州唯东凰大帝独尊！      十五年后，东海青州城，一名为叶伏天的少年，开启了他的传奇之路…                    
https://bookcover.yuewen.com/qdbimg/349573/c_12272732603485803/90,好想住你隔壁,叶非夜,现代言情,已完结,125.98万,                        婚后——情人节，韩经年问：“今天怎么过？”夏晚安搂着被子，昏昏欲睡的答：“睡觉。”圣诞节，韩经年问：“今天怎么过？”夏晚安抱着枕头，漫不经心的答：“睡觉。”结婚纪念日，韩经年端着一杯水问：“今天怎么过？”夏晚安窝在床上，懒洋洋的睁开了眼睛，警惕的盯着韩经年随时会泼到床上的水思考了三秒，回：“和你……一起。”                    
https://bookcover.yuewen.com/qdbimg/349573/c_5500591004849403/90,国民校草是女生,战七少,现代言情,已完结,253.47万,                        表面上她是个废柴。实际上她是众神追捧的z。女扮男装，横霸游戏， 当人们知道“他”是女生时，全民沸腾了！薄九：“秦大神，有女朋友吗？”秦漠放下笔记本：“没有。”薄九低声开撩：“那么从现在开始你有了，就是我。”（重生爽宠文，女主薄九，男主秦漠。）                    
https://bookcover.yuewen.com/qdbimg/349573/c_5932291504683503/90,遥望行止,清风莫晚,现代言情,已完结,418.84万,                        【正文已完结】(超甜宠文)“外头谣传我们有关系！”他从卷中抬头，缓身站起：“你要我如何？”“说清这只是谣言……”他抵在墙上：“陆太太，我们得坐实这个谣言。”重生前，她一直在做的事，远离他，远离他！重生后，她一直想做的事，在一起，在一起！                    
https://bookcover.yuewen.com/qdbimg/349573/c_4850509704088803/90,卦妃天下,锦凰,古代言情,已完结,598万,                        本文已由悦读纪出版，出版名《盛世繁华为君倾》，当当淘宝都可购买。夜摇光，风水世家传人，一眼看贫贵，一卦晓祸福，一言论生死！就算穿越成为古代农户小媳妇，她一样可以财源广进，风生水起！等到谈婚论嫁时，夜摇光问：“钱是我赚的，你是我养大的，小人恶人是我打的，魑魅魍魉是我驱的，权贵豪富欠的情是我的，我要你干嘛？”某男端着一张长得越来越妖孽的脸凑上前：“夫人负责赚钱养家，扫清天下，为了不失宠，为夫自然要保证永远貌美如花。”于是，某女就这么嫁了！权倾天下，不如有你；世间永恒，唯神仙眷侣。                    
https://bookcover.yuewen.com/qdbimg/349573/c_9668114804208603/90,电竞大神暗恋我,战七少,现代言情,连载中,214.43万,"                        三年前，帝盟解体，游戏天才莫北，低调隐退。三年后，她女扮男装，埋名回归，从被人唾弃到重登神坛，引来了全民沸腾！他俊美禁欲，粉丝无数,电竞圈无人不识。入队一开始他对她说：“安分点，不要有非分之想。”后来她身份暴露，他从桌前抬眸，缓身站起：“游戏里结完婚就想始乱终弃？嗯？”                    "
https://bookcover.yuewen.com/qdbimg/349573/c_6159709703787403/90,四爷的心尖宠妃,雪中回眸,古代言情,已完结,307.93万,                        　‘悲惨’的事实告诉我们，穿越是个技术活。而显然叶枣技术一般。被自家便宜舅舅骗进人家府里做小妾也就算了，为毛是四爷府上？　　还是个侍妾，这怎么混？起点太低，出身太差，筹码太少！大BOSS血太厚，小BOSS个个要命！左思右想，装贤惠会死，因为前有乌拉那拉氏。装泼辣会死，因为后有李侧福晋。生儿子不能养，不生儿子没依靠，这日子怎么过都是个愁！好不容易从府里混进宫里，上头还有一位太后娘娘嫌弃她长得不庄重！　　还好四爷不嫌弃，并且暗戳戳的就是喜欢她长得不庄重！叶枣的目标是好好过日子，锦衣玉食高高在上。                    
